latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,brightness
47.39745,-120.81247,367.0,0.55,0.68,2025-09-12,2159,N,VIIRS,80,2.0NRT,298.92,52.32,D,367.0
34.63818,-87.08498,341.69,0.41,0.45,2025-09-12,714,N,VIIRS,60,2.0NRT,290.88,6.56,N,341.69
48.92261,-121.12133,349.51,0.55,0.51,2025-09-08,2136,N,VIIRS,60,2.0NRT,295.43,11.17,D,349.51
52.40541,-124.82997,348.71,0.51,0.49,2025-09-07,2014,N,VIIRS,60,2.0NRT,283.65,38.24,D,348.71
28.82386,-97.94098,309.96,0.38,0.36,2025-09-14,820,N,VIIRS,60,2.0NRT,279.52,0.74,N,309.96
41.67834,-87.43094,316.38,0.55,0.68,2025-09-12,854,N,VIIRS,60,2.0NRT,288.07,1.77,N,316.38
30.10854,-84.05984,352.39,0.45,0.47,2025-09-10,1910,N,VIIRS,60,2.0NRT,280.97,11.78,D,352.39
47.68604,-120.45792,348.68,0.46,0.47,2025-09-07,2014,N,VIIRS,60,2.0NRT,287.86,21.15,D,348.68
59.4916,-111.64748,304.05,0.32,0.55,2025-09-12,850,N,VIIRS,60,2.0NRT,286.68,0.96,N,304.05
50.26801,-123.60099,342.87,0.52,0.42,2025-09-06,2034,N,VIIRS,60,2.0NRT,294.32,6.82,D,342.87
51.70366,-123.72803,314.97,0.39,0.36,2025-09-12,1032,N,VIIRS,60,2.0NRT,282.89,1.88,N,314.97
52.7473,-124.86908,344.7,0.44,0.38,2025-09-09,2118,N,VIIRS,60,2.0NRT,291.87,6.79,D,344.7
51.96939,-124.74305,342.57,0.33,0.55,2025-09-07,2155,N,VIIRS,60,2.0NRT,297.81,4.96,D,342.57
52.75626,-124.96684,344.59,0.38,0.36,2025-09-10,2057,N,VIIRS,60,2.0NRT,302.96,30.14,D,344.59
61.81404,-121.00378,329.84,0.56,0.69,2025-09-12,2203,N,VIIRS,60,2.0NRT,283.91,4.48,D,329.84
32.87354,-91.96867,338.76,0.37,0.58,2025-09-13,1955,N,VIIRS,60,2.0NRT,299.44,3.97,D,338.76
62.85719,-116.74789,334.56,0.42,0.37,2025-09-12,2023,N,VIIRS,60,2.0NRT,294.59,3.73,D,334.56
53.0339,-124.94518,336.78,0.33,0.55,2025-09-07,2155,N,VIIRS,60,2.0NRT,295.46,73.47,D,336.78
37.03918,-119.12811,334.16,0.4,0.37,2025-09-14,958,N,VIIRS,60,2.0NRT,286.04,8.95,N,334.16
33.05335,-86.27453,367.0,0.34,0.56,2025-09-09,1930,N,VIIRS,80,2.0NRT,301.18,25.14,D,367.0
35.79468,-91.74651,308.32,0.49,0.65,2025-09-12,856,N,VIIRS,60,2.0NRT,288.93,1.47,N,308.32
41.62115,-87.35048,300.4,0.4,0.4,2025-09-15,757,N,VIIRS,60,2.0URT,290.02,0.48,N,300.4
55.31663,-109.43061,334.14,0.39,0.37,2025-09-13,2002,N,VIIRS,60,2.0NRT,296.19,3.09,D,334.14
35.41064,-93.77641,310.81,0.42,0.37,2025-09-14,818,N,VIIRS,60,2.0NRT,290.32,1.25,N,310.81
53.17833,-115.75751,319.26,0.43,0.62,2025-09-12,852,N,VIIRS,60,2.0NRT,282.0,3.68,N,319.26
52.71048,-124.51637,339.87,0.38,0.36,2025-09-10,2057,N,VIIRS,60,2.0NRT,300.16,34.8,D,339.87
36.94875,-119.10812,310.61,0.53,0.67,2025-09-06,1047,N,VIIRS,60,2.0NRT,289.14,5.72,N,310.61
55.36251,-109.35317,329.71,0.59,0.7,2025-09-09,2118,N,VIIRS,60,2.0NRT,294.85,36.59,D,329.71
51.9552,-124.69093,341.08,0.39,0.36,2025-09-10,2057,N,VIIRS,60,2.0NRT,294.54,5.71,D,341.08
30.49677,-109.63094,339.68,0.41,0.37,2025-09-11,2034,N,VIIRS,60,2.0NRT,308.18,8.06,D,339.68
37.04335,-119.12731,332.84,0.54,0.42,2025-09-14,2121,N,VIIRS,60,2.0NRT,295.38,6.22,D,332.84
52.69035,-124.47167,303.17,0.45,0.39,2025-09-11,1051,N,VIIRS,60,2.0NRT,280.39,6.68,N,303.17
47.74161,-120.47993,343.45,0.46,0.47,2025-09-07,2014,N,VIIRS,60,2.0NRT,293.88,5.2,D,343.45
41.66277,-87.42645,305.29,0.4,0.4,2025-09-15,757,N,VIIRS,60,2.0URT,290.52,1.08,N,305.29
33.09008,-90.40637,348.45,0.46,0.64,2025-09-13,1815,N,VIIRS,60,2.0NRT,299.03,15.59,D,348.45
51.26932,-97.84396,327.33,0.41,0.37,2025-09-13,833,N,VIIRS,60,2.0NRT,286.74,2.44,N,327.33
53.02823,-124.95831,340.85,0.44,0.38,2025-09-09,2118,N,VIIRS,60,2.0NRT,314.97,203.14,D,340.85
30.89576,-95.9323,334.47,0.42,0.45,2025-09-13,1955,N,VIIRS,60,2.0NRT,301.26,3.81,D,334.47
61.56432,-120.96329,339.72,0.39,0.37,2025-09-06,2036,N,VIIRS,60,2.0NRT,286.73,9.09,D,339.72
61.50941,-117.06226,299.56,0.71,0.75,2025-09-13,830,N,VIIRS,60,2.0NRT,279.75,2.4,N,299.56
52.22506,-124.96286,333.42,0.43,0.38,2025-09-09,2118,N,VIIRS,60,2.0NRT,298.33,4.95,D,333.42
29.99402,-96.99046,349.51,0.4,0.37,2025-09-09,1930,N,VIIRS,60,2.0NRT,313.88,5.07,D,349.51
62.8214,-116.70069,301.98,0.41,0.37,2025-09-06,1043,N,VIIRS,60,2.0NRT,278.81,1.35,N,301.98
52.73584,-124.54498,367.0,0.34,0.56,2025-09-07,2155,N,VIIRS,80,2.0NRT,301.86,30.55,D,367.0
55.35874,-109.36304,367.0,0.59,0.7,2025-09-09,2118,N,VIIRS,80,2.0NRT,294.13,40.04,D,367.0
48.66992,-118.18098,302.04,0.55,0.51,2025-09-06,1045,N,VIIRS,60,2.0NRT,288.85,2.29,N,302.04
32.32931,-101.82695,306.28,0.4,0.37,2025-09-08,833,N,VIIRS,60,2.0NRT,290.07,0.88,N,306.28
52.39426,-124.38945,348.51,0.38,0.36,2025-09-10,2057,N,VIIRS,60,2.0NRT,310.63,17.47,D,348.51
52.78703,-124.56969,367.0,0.34,0.56,2025-09-07,2155,N,VIIRS,80,2.0NRT,295.28,54.02,D,367.0
61.58131,-121.03667,346.66,0.4,0.44,2025-09-09,1940,N,VIIRS,60,2.0NRT,294.56,4.41,D,346.66
53.03735,-124.98714,367.0,0.32,0.55,2025-09-07,2155,N,VIIRS,80,2.0NRT,305.16,98.11,D,367.0
49.43811,-118.48773,295.87,0.4,0.37,2025-09-14,956,N,VIIRS,60,2.0NRT,275.96,0.46,N,295.87
48.11484,-115.6815,330.78,0.45,0.39,2025-09-07,2014,N,VIIRS,60,2.0NRT,296.27,2.5,D,330.78
52.39011,-124.37291,329.31,0.49,0.4,2025-09-08,1009,N,VIIRS,60,2.0NRT,282.71,3.27,N,329.31
35.97402,-120.37685,319.77,0.71,0.75,2025-09-07,850,N,VIIRS,60,2.0NRT,289.0,5.44,N,319.77
52.79551,-124.98116,300.1,0.43,0.38,2025-09-11,1051,N,VIIRS,60,2.0NRT,277.63,1.72,N,300.1
41.41434,-88.18587,302.19,0.47,0.4,2025-09-09,809,N,VIIRS,60,2.0NRT,287.15,1.61,N,302.19
48.47726,-117.44398,339.99,0.4,0.6,2025-09-08,2136,N,VIIRS,60,2.0NRT,287.35,8.23,D,339.99
37.04205,-119.1045,302.11,0.41,0.37,2025-09-14,958,N,VIIRS,60,2.0NRT,279.62,0.74,N,302.11
52.41189,-124.39425,330.85,0.34,0.56,2025-09-07,2155,N,VIIRS,60,2.0NRT,289.4,77.44,D,330.85
36.2197,-92.70589,327.75,0.59,0.53,2025-09-08,1949,N,VIIRS,60,2.0NRT,299.27,3.63,D,327.75
56.25276,-114.82137,297.04,0.39,0.36,2025-09-14,954,N,VIIRS,60,2.0NRT,286.68,0.87,N,297.04
